nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_022058-emjcbulv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/emjcbulv
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 59. train_acc:  47, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  75.2, train_time:  0.0032, data_load_time:  5.45e-07, total_eval_time:  12, test_score:  3.95e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 60. train_acc:  47, train_loss:  0.742, data_points:  5.4e+05, total_data_gen_time:  82.5, train_time:  0.00318, data_load_time:  5.12e-07, total_eval_time:  7.17, test_score:  3.67e+03, best_score:  6.98e+03, current lr:  0.0001, 
Epoch 61. train_acc:  47.1, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.00277, data_load_time:  4.32e-07, total_eval_time:  13.3, test_score:  8.06e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 62. train_acc:  47.2, train_loss:  0.74, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00276, data_load_time:  4.38e-07, total_eval_time:  10.2, test_score:  5.05e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 63. train_acc:  47.2, train_loss:  0.738, data_points:  5.4e+05, total_data_gen_time:  61.8, train_time:  0.00272, data_load_time:  4.71e-07, total_eval_time:  11, test_score:  7.34e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 64. train_acc:  47.3, train_loss:  0.739, data_points:  5.4e+05, total_data_gen_time:  62.1, train_time:  0.00276, data_load_time:  4.69e-07, total_eval_time:  7.14, test_score:  2.8e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 65. train_acc:  47.2, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00273, data_load_time:  4.54e-07, total_eval_time:  13.9, test_score:  7.8e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 66. train_acc:  47.3, train_loss:  0.739, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00281, data_load_time:  4.63e-07, total_eval_time:  14.7, test_score:  2.63e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 67. train_acc:  47.2, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00321, data_load_time:  4.99e-07, total_eval_time:  16.2, test_score:  5.92e+03, best_score:  8.06e+03, current lr:  0.0001, 
Epoch 68. train_acc:  47.2, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  82.1, train_time:  0.00326, data_load_time:  5.47e-07, total_eval_time:  44.3, test_score:  5.93e+03, best_score:  8.06e+03, current lr:  0.0001, 
