nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054859-0lras3xf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_00001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/0lras3xf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 1.0e-05
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_00001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 54. train_acc:  47, train_loss:  0.751, data_points:  5.4e+05, total_data_gen_time:  80.4, train_time:  0.00304, data_load_time:  5.29e-07, total_eval_time:  44.8, test_score:  4.57e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 55. train_acc:  47.1, train_loss:  0.746, data_points:  5.4e+05, total_data_gen_time:  82.5, train_time:  0.00305, data_load_time:  5.4e-07, total_eval_time:  87.2, test_score:  4.28e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 56. train_acc:  47.2, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  63, train_time:  0.00278, data_load_time:  4.68e-07, total_eval_time:  31.5, test_score:  4.27e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 57. train_acc:  47.2, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  59.4, train_time:  0.00273, data_load_time:  4.84e-07, total_eval_time:  9.11, test_score:  3.2e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 58. train_acc:  47.3, train_loss:  0.743, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00283, data_load_time:  5.32e-07, total_eval_time:  57.4, test_score:  3.71e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 59. train_acc:  47.4, train_loss:  0.744, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00274, data_load_time:  4.86e-07, total_eval_time:  55.6, test_score:  6.22e+03, best_score:  6.22e+03, current lr:  0.0001, 
Epoch 60. train_acc:  47.5, train_loss:  0.741, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00299, data_load_time:  5.52e-07, total_eval_time:  9.72, test_score:  2.63e+03, best_score:  6.22e+03, current lr:  0.0001, 
Epoch 61. train_acc:  47.7, train_loss:  0.735, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.0031, data_load_time:  5.87e-07, total_eval_time:  107, test_score:  3.04e+03, best_score:  6.22e+03, current lr:  0.0001, 
Epoch 62. train_acc:  47.8, train_loss:  0.729, data_points:  5.4e+05, total_data_gen_time:  80.5, train_time:  0.00293, data_load_time:  5.53e-07, total_eval_time:  12, test_score:  4.34e+03, best_score:  6.22e+03, current lr:  0.0001, 
Epoch 63. train_acc:  47.8, train_loss:  0.728, data_points:  5.4e+05, total_data_gen_time:  80.5, train_time:  0.00332, data_load_time:  5.55e-07, total_eval_time:  75.9, test_score:  4.9e+03, best_score:  6.22e+03, current lr:  0.0001, 
