nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034741-njuc4u8h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_pd_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/njuc4u8h
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_pd_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 65. train_acc:  63.8, train_loss:  0.723, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00314, data_load_time:  1.01e-06, total_eval_time:  6.14, test_score:  1.1e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 66. train_acc:  63.9, train_loss:  0.724, data_points:  5.4e+05, total_data_gen_time:  83.6, train_time:  0.00309, data_load_time:  1.06e-06, total_eval_time:  6.94, test_score:  1.22e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 67. train_acc:  63.8, train_loss:  0.727, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00302, data_load_time:  1.01e-06, total_eval_time:  7.01, test_score:  1.49e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 68. train_acc:  63.8, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00311, data_load_time:  1.07e-06, total_eval_time:  5.8, test_score:  1.06e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 69. train_acc:  63.8, train_loss:  0.728, data_points:  5.4e+05, total_data_gen_time:  84.4, train_time:  0.00324, data_load_time:  1.02e-06, total_eval_time:  6.17, test_score:  1.16e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 70. train_acc:  63.9, train_loss:  0.729, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00312, data_load_time:  1.13e-06, total_eval_time:  5.92, test_score:  1.05e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 71. train_acc:  63.9, train_loss:  0.726, data_points:  5.4e+05, total_data_gen_time:  84.2, train_time:  0.00313, data_load_time:  1.06e-06, total_eval_time:  7.36, test_score:  1.48e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 72. train_acc:  64.3, train_loss:  0.716, data_points:  5.4e+05, total_data_gen_time:  84.1, train_time:  0.0031, data_load_time:  1.12e-06, total_eval_time:  6.48, test_score:  1.26e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 73. train_acc:  64.2, train_loss:  0.713, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00314, data_load_time:  1.15e-06, total_eval_time:  6.4, test_score:  1.13e+04, best_score:  1.66e+04, current lr:  0.0001, 
Epoch 74. train_acc:  64.4, train_loss:  0.708, data_points:  5.4e+05, total_data_gen_time:  83.6, train_time:  0.00316, data_load_time:  1.1e-06, total_eval_time:  7.1, test_score:  1.17e+04, best_score:  1.66e+04, current lr:  0.0001, 
