nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /home/yw3809/Projects/policy_distillation/src/wandb/run-20250311_160852-3k76eksh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn5_pd_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/3k76eksh
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn5
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn5_pd_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 65. train_acc:  40.5, train_loss:  0.871, data_points:  5.4e+05, total_data_gen_time:  33, train_time:  0.000553, data_load_time:  2.75e-07, total_eval_time:  3.93, test_score:  1.01e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 66. train_acc:  40.5, train_loss:  0.874, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.000551, data_load_time:  2.64e-07, total_eval_time:  28.9, test_score:  1.54e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 67. train_acc:  40.5, train_loss:  0.871, data_points:  5.4e+05, total_data_gen_time:  32.8, train_time:  0.000592, data_load_time:  2.58e-07, total_eval_time:  63.4, test_score:  1.64e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 68. train_acc:  40.4, train_loss:  0.868, data_points:  5.4e+05, total_data_gen_time:  32.6, train_time:  0.000569, data_load_time:  2.64e-07, total_eval_time:  4.4, test_score:  2.6e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 69. train_acc:  40.6, train_loss:  0.866, data_points:  5.4e+05, total_data_gen_time:  33.1, train_time:  0.000578, data_load_time:  2.53e-07, total_eval_time:  27.9, test_score:  2.2e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 70. train_acc:  40.9, train_loss:  0.858, data_points:  5.4e+05, total_data_gen_time:  32.7, train_time:  0.000557, data_load_time:  2.68e-07, total_eval_time:  28.1, test_score:  2.11e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 71. train_acc:  40.7, train_loss:  0.865, data_points:  5.4e+05, total_data_gen_time:  32.7, train_time:  0.000554, data_load_time:  2.67e-07, total_eval_time:  4.33, test_score:  2.46e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 72. train_acc:  40.7, train_loss:  0.866, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000555, data_load_time:  2.64e-07, total_eval_time:  5.38, test_score:  2.57e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 73. train_acc:  40.9, train_loss:  0.863, data_points:  5.4e+05, total_data_gen_time:  32.7, train_time:  0.000553, data_load_time:  2.62e-07, total_eval_time:  28.5, test_score:  2.29e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 74. train_acc:  41, train_loss:  0.864, data_points:  5.4e+05, total_data_gen_time:  32.7, train_time:  0.000554, data_load_time:  2.62e-07, total_eval_time:  4.37, test_score:  3.68e+03, best_score:  3.68e+03, current lr:  0.0001, 
Epoch 75. train_acc:  40.9, train_loss:  0.867, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.000552, data_load_time:  2.64e-07, total_eval_time:  4.52, test_score:  1.76e+03, best_score:  3.68e+03, current lr:  0.0001, 
Epoch 76. train_acc:  41.1, train_loss:  0.864, data_points:  5.4e+05, total_data_gen_time:  32.7, train_time:  0.000602, data_load_time:  2.69e-07, total_eval_time:  2.98, test_score:  1.54e+03, best_score:  3.68e+03, current lr:  0.0001, 
